First Name;Family Name;Country;Room Type;Days Rented;Season;Price;Id
Muhammad;Johansson;China;Standard Single;7;low;7756;169
Sara;Khan;India;Spa Executive;2;high;5590;170
Sophia;Rossi;Spain;Superior Double;6;high;11538;171
Maria;Martinez;Sweden;LOFT Suite;1;high;3654;172
Olivia;Patel;Spain;Grand Lit;4;high;5912;173
Hiroshi;Smith;Japan;Grand Lit;5;low;6580;174
Maria;Ivanov;India;Standard Double;1;low;1410;175
Fatima;Olsen;Vietnam;Standard Double;6;high;11730;176
Ahmed;Brown;Canada;Suite;1;high;3224;177
John;Garcia;South Korea;Junior Suite;7;low;13293;178
Elena;Johansson;Canada;Grand Lit;9;high;16065;179
Santiago;Smith;Pakistan;LOFT Suite;6;mid;19362;180
Maria;Khan;Brazil;Grand Lit;3;mid;4341;181
Ingrid;Schneider;Vietnam;Junior Suite;6;mid;12300;182
David;Khan;Germany;Standard Double;5;mid;6805;183
Fatima;Sato;Nigeria;Standard Single;7;low;7497;184
Fatima;Yamamoto;Australia;Suite;2;low;5602;185
Fatima;Brown;United Kingdom;Suite;6;mid;17892;186
Ahmed;Sato;United Kingdom;Standard Double;10;mid;14930;187
Ahmed;Rossi;Australia;Junior Suite;2;mid;4518;188
Elena;Ivanov;India;Suite;6;mid;18378;189
Sara;Müller;Canada;Grand Lit;9;high;13779;190
Ingrid;Olsen;France;Spa Executive;5;mid;11335;191
Fatima;Khan;Spain;Standard Double;7;mid;9786;192
Lucas;Kim;United States;Junior Suite;9;mid;20187;193
Ingrid;Dubois;Vietnam;Junior Suite;2;low;3624;194
Aisha;Silva;Canada;Standard Single;8;low;8400;195
Carlos;Silva;Russia;Grand Lit;6;high;8586;196
Hiroshi;Smith;Mexico;Junior Suite;9;low;17154;197
Ingrid;Olsen;France;LOFT Suite;5;high;18900;198
Muhammad;Silva;South Korea;Superior Double;8;high;16568;199
Muhammad;Smith;France;Superior Double;4;mid;6676;200
Muhammad;Ivanov;Australia;Standard Double;6;low;7860;201
Maria;Rossi;India;Spa Executive;5;low;12160;202
John;Smith;Sweden;Superior Double;7;low;9870;203
Zhang;Patel;Brazil;Spa Executive;5;mid;12750;204
Sara;Hassan;China;Standard Double;3;mid;4077;205
Aisha;Silva;India;Junior Suite;6;high;14688;206
Hiroshi;Johansson;United Kingdom;Grand Lit;1;high;1753;207
Hiroshi;Ivanov;China;Grand Lit;7;mid;9947;208
Maria;Smith;Australia;Standard Single;10;low;11710;209
Ingrid;Yamamoto;Sweden;Grand Lit;6;mid;9534;210
Carlos;Kim;Brazil;Grand Lit;6;mid;8400;211
David;Martinez;China;Junior Suite;6;mid;12792;212
Lucas;Khan;Australia;Grand Lit;10;high;17150;213
Santiago;Brown;United Kingdom;Superior Double;7;low;11256;214
Muhammad;Yamamoto;United Kingdom;Superior Double;5;high;10635;215
Olivia;Ivanov;Spain;Superior Double;4;mid;6112;216
Olivia;Khan;United Kingdom;Standard Double;10;mid;15770;217
Santiago;Schneider;China;Standard Double;3;mid;4800;218
Muhammad;Johansson;Vietnam;Standard Single;2;high;2444;219
Hiroshi;Ivanov;Japan;Grand Lit;7;low;8099;220
Isabella;Kim;South Korea;Grand Lit;5;high;8170;221
Ahmed;Martinez;Egypt;Standard Double;6;low;8832;222
Liam;Yamamoto;Brazil;Standard Single;10;low;9320;223
Liam;Yamamoto;Canada;Junior Suite;6;high;13272;224
Liam;Rossi;Spain;Standard Single;1;mid;1038;225
Muhammad;Silva;Canada;LOFT Suite;7;high;26292;226
Ahmed;Smith;Australia;Standard Single;4;high;4852;227
Sophia;Garcia;France;Superior Double;1;mid;1939;228
Santiago;Martinez;Pakistan;Standard Double;1;high;1759;229
Liam;Smith;Sweden;Suite;8;low;23560;230
Lucas;Sato;Italy;Superior Double;6;low;8922;231
Zhang;Dubois;South Korea;Junior Suite;4;low;7464;232
Fatima;Dubois;Pakistan;Grand Lit;2;low;2686;233
Aisha;Johansson;France;Standard Double;1;low;1483;234
Carlos;Khan;South Korea;Grand Lit;2;low;2760;235
John;Dubois;Sweden;Spa Executive;9;high;25038;236
Olivia;Dubois;Russia;Standard Double;9;high;15003;237
Santiago;Yamamoto;France;Suite;5;high;16080;238
Sara;Martinez;Egypt;Spa Executive;8;high;21440;239
David;Müller;South Korea;Junior Suite;7;low;14329;240
Maria;Johansson;Mexico;Superior Double;2;mid;3768;241
Ingrid;Olsen;Nigeria;Superior Double;10;low;17490;242
David;Garcia;China;LOFT Suite;10;low;33860;243
Chen;Lee;South Korea;Standard Double;5;mid;8075;244
Ingrid;Khan;Brazil;Suite;6;mid;19446;245
Olivia;Yamamoto;India;Suite;1;high;3083;246
Elena;Garcia;Nigeria;Standard Double;6;high;10968;247
Lucas;Rossi;Mexico;Spa Executive;3;mid;7341;248
Carlos;Schneider;India;Standard Single;7;mid;8960;249
Elena;Rossi;Germany;Suite;4;mid;12984;250
Muhammad;Brown;Sweden;Spa Executive;1;low;2297;251
Muhammad;Schneider;Italy;Grand Lit;4;low;4452;252
David;Nguyen;India;Superior Double;2;low;2866;253
Sara;Martinez;Australia;Standard Double;9;low;14139;254
Aisha;Sato;Brazil;Suite;1;mid;2989;255
Fatima;Schneider;Italy;Superior Double;2;mid;3780;256
Muhammad;Brown;Germany;Grand Lit;9;low;10917;257
Santiago;Rossi;France;Superior Double;1;low;1736;258
Sara;Smith;Egypt;Suite;1;low;2849;259
Elena;Patel;Italy;Spa Executive;5;low;12085;260
Muhammad;Kim;Nigeria;LOFT Suite;6;low;18630;261
Elena;Yamamoto;Russia;Superior Double;8;high;17376;262
Ingrid;Lee;United Kingdom;Grand Lit;8;mid;9784;263
Ahmed;Smith;Russia;Spa Executive;4;mid;10000;264
David;Smith;Brazil;LOFT Suite;3;mid;10170;265
Isabella;Lee;India;Suite;9;mid;27297;266
Muhammad;Smith;Mexico;Superior Double;8;low;12592;267
Hiroshi;Smith;Mexico;Superior Double;6;mid;11142;268
Liam;Sato;United Kingdom;Superior Double;4;mid;7732;269
Zhang;Hassan;Russia;Junior Suite;5;high;12465;270
Sophia;Ivanov;Mexico;Spa Executive;5;low;11005;271
John;Müller;United States;LOFT Suite;2;high;7452;272
Ingrid;Rossi;Mexico;Superior Double;9;high;19332;273
Aisha;Johansson;Pakistan;Spa Executive;3;low;6630;274
Olivia;Hassan;Vietnam;Standard Double;8;low;11776;275
Aisha;Yamamoto;United Kingdom;Standard Double;10;low;15860;276
Aisha;Nguyen;Canada;Junior Suite;2;mid;4470;277
Muhammad;Hassan;Italy;Suite;8;mid;23112;278
Elena;Müller;Egypt;Standard Double;10;low;15740;279
Liam;Müller;South Korea;LOFT Suite;3;low;9507;280
Zhang;Smith;France;Grand Lit;10;mid;12290;281
Isabella;Garcia;China;Junior Suite;10;high;24910;282
David;Dubois;Australia;Standard Single;3;mid;3675;283
David;Dubois;Canada;Standard Double;8;low;11928;284
Liam;Müller;Spain;Spa Executive;10;high;25350;285
Ingrid;Martinez;Spain;Junior Suite;4;mid;9324;286
Elena;Ivanov;India;Junior Suite;3;low;5772;287
Isabella;Kim;Italy;Superior Double;10;low;17510;288
Elena;Silva;Vietnam;Grand Lit;9;high;15435;289
Lucas;Sato;Brazil;Standard Single;10;mid;11340;290
Hiroshi;Smith;Mexico;Standard Single;9;high;12015;291
Santiago;Ivanov;Brazil;Junior Suite;6;high;13620;292
Olivia;Olsen;Nigeria;Junior Suite;7;low;13860;293
John;Olsen;Australia;Superior Double;1;high;2098;294
Olivia;Sato;Italy;Standard Single;6;mid;7320;295
Zhang;Nguyen;Germany;LOFT Suite;5;high;18565;296
Elena;Martinez;Nigeria;Standard Single;2;low;1958;297
Ahmed;Müller;India;Grand Lit;4;mid;5580;298
Santiago;Garcia;France;Superior Double;10;high;18750;299
David;Schneider;United States;Superior Double;9;high;16524;300
Isabella;Olsen;United Kingdom;Superior Double;2;mid;3036;301
David;Yamamoto;United Kingdom;Junior Suite;6;high;14790;302
Muhammad;Schneider;Japan;Junior Suite;10;mid;20640;303
Maria;Nguyen;Egypt;Suite;8;low;20072;304
Muhammad;Rossi;Japan;Standard Double;4;high;6520;305
Aisha;Rossi;Japan;Superior Double;6;mid;9984;306
Olivia;Patel;China;Superior Double;3;low;4344;307
Chen;Patel;Nigeria;Grand Lit;9;mid;12294;308
Santiago;Yamamoto;Spain;Grand Lit;4;low;5156;309
Ahmed;Garcia;Mexico;Grand Lit;1;mid;1564;310
Olivia;Johansson;Pakistan;LOFT Suite;7;high;25550;311
Ahmed;Rossi;China;Grand Lit;10;mid;13930;312
Sophia;Müller;Russia;Spa Executive;2;mid;4950;313
Chen;Garcia;Canada;Grand Lit;10;high;17590;314
Elena;Ivanov;Australia;LOFT Suite;6;high;21648;315
Sara;Johansson;Germany;Suite;9;mid;26604;316
Ahmed;Nguyen;United Kingdom;Superior Double;2;high;3694;317
Isabella;Smith;Sweden;Suite;9;mid;24966;318
Santiago;Hassan;Japan;LOFT Suite;3;low;9732;319
Santiago;Nguyen;South Korea;Standard Single;1;mid;1133;320
Elena;Khan;United States;Junior Suite;5;high;12460;321
Chen;Ivanov;United States;Grand Lit;3;high;4569;322
Ahmed;Khan;Germany;LOFT Suite;1;high;3719;323
Aisha;Dubois;Germany;Superior Double;7;low;10423;324
Hiroshi;Kim;Mexico;Superior Double;5;low;8620;325
Hiroshi;Olsen;Brazil;Superior Double;7;mid;13076;326
Sophia;Smith;Italy;Standard Single;10;high;13760;327
Fatima;Smith;Pakistan;Standard Single;3;high;3942;328
Zhang;Smith;China;Grand Lit;2;high;3082;329
Zhang;Lee;Australia;Standard Double;10;mid;14490;330
Chen;Müller;Sweden;Grand Lit;6;mid;9006;331
John;Garcia;Canada;Standard Single;8;low;8032;332
Aisha;Yamamoto;United States;Grand Lit;10;high;14170;333
Aisha;Sato;Russia;Suite;3;mid;9639;334
Liam;Ivanov;Pakistan;LOFT Suite;3;low;9000;335
Olivia;Martinez;Sweden;Junior Suite;2;high;4996;336
Hiroshi;Brown;China;Standard Double;4;mid;5464;337
Hiroshi;Olsen;United States;Standard Double;8;low;10528;338
Santiago;Lee;Japan;LOFT Suite;3;high;11736;339
Aisha;Brown;Egypt;Spa Executive;7;mid;16562;340
Muhammad;Sato;China;Standard Single;1;mid;1159;341
Muhammad;Silva;Sweden;Standard Single;6;low;6702;342
Zhang;Patel;Mexico;Superior Double;10;high;20720;343
Liam;Müller;Italy;Spa Executive;8;high;20976;344
Aisha;Patel;Brazil;Suite;8;high;24160;345
David;Olsen;Vietnam;Junior Suite;1;high;2253;346
Muhammad;Kim;France;Grand Lit;10;high;17930;347
Lucas;Johansson;Japan;Superior Double;10;low;15900;348
Elena;Smith;Vietnam;LOFT Suite;5;low;16090;349
John;Sato;China;Spa Executive;10;mid;22700;350
Isabella;Rossi;Japan;Standard Single;6;mid;7146;351
Sara;Hassan;India;LOFT Suite;1;low;3225;352
Lucas;Lee;Spain;Suite;7;mid;20468;353
Fatima;Martinez;Pakistan;Junior Suite;9;mid;18153;354
John;Dubois;Japan;Junior Suite;9;high;20763;355
Muhammad;Smith;Japan;Junior Suite;7;low;15365;356
John;Hassan;United Kingdom;LOFT Suite;6;low;19416;357
Sophia;Garcia;Germany;Suite;7;high;23240;358
Sara;Patel;Vietnam;Grand Lit;4;mid;6028;359
Ahmed;Smith;Egypt;Spa Executive;8;low;18840;360
John;Nguyen;Pakistan;Spa Executive;10;mid;23890;361
Muhammad;Sato;United States;Junior Suite;5;high;12420;362
David;Lee;Sweden;LOFT Suite;6;high;22368;363
Sophia;Sato;Russia;Standard Single;5;low;5125;364
Olivia;Garcia;Nigeria;Standard Single;6;mid;7500;365
Liam;Brown;Sweden;Junior Suite;10;high;22870;366
Aisha;Garcia;Canada;LOFT Suite;2;mid;6886;367
Isabella;Dubois;South Korea;LOFT Suite;1;high;3522;368
Chen;Garcia;South Korea;Suite;1;high;3162;369
Sara;Yamamoto;Japan;Standard Double;10;high;17080;370
Ingrid;Hassan;South Korea;LOFT Suite;10;low;31010;371
Sara;Sato;Australia;Grand Lit;7;low;9471;372
Olivia;Lee;Mexico;Suite;7;low;18823;373
Carlos;Silva;Sweden;Superior Double;8;high;15240;374
David;Silva;Vietnam;Spa Executive;6;high;15522;375
Muhammad;Kim;Vietnam;Suite;2;high;6786;376
Hiroshi;Müller;Sweden;Standard Single;1;high;1312;377
Isabella;Müller;United Kingdom;Spa Executive;6;mid;14778;378
Hiroshi;Silva;Russia;Standard Single;10;low;9580;379
Isabella;Ivanov;Vietnam;Spa Executive;4;mid;9760;380
Aisha;Kim;United Kingdom;Spa Executive;9;low;19584;381
Carlos;Johansson;Mexico;Suite;3;low;7560;382
Liam;Schneider;United Kingdom;Junior Suite;5;high;11745;383
Lucas;Johansson;Nigeria;Junior Suite;3;high;7002;384
John;Ivanov;France;Superior Double;6;high;10962;385
Maria;Silva;South Korea;Standard Double;1;high;1807;386
Hiroshi;Khan;Egypt;Junior Suite;6;mid;13506;387
Liam;Müller;China;Standard Double;3;mid;4032;388
Chen;Smith;Canada;Junior Suite;7;mid;14560;389
Isabella;Schneider;Japan;Standard Double;10;mid;16260;390
Aisha;Ivanov;Russia;Suite;2;mid;5906;391
Lucas;Patel;Vietnam;LOFT Suite;4;mid;14076;392
Muhammad;Kim;South Korea;Superior Double;9;mid;15516;393
Maria;Smith;China;LOFT Suite;2;mid;7470;394
David;Yamamoto;Nigeria;Spa Executive;7;low;16373;395
Liam;Patel;Vietnam;Suite;1;low;2850;396
Lucas;Ivanov;Australia;Superior Double;9;low;13761;397
Chen;Kim;Sweden;Grand Lit;9;mid;13392;398
Elena;Garcia;China;Suite;10;mid;30350;399
Elena;Kim;Russia;Junior Suite;5;high;11205;400
Chen;Yamamoto;United Kingdom;Superior Double;1;low;1528;401
Fatima;Khan;Australia;Junior Suite;7;low;12824;402
John;Ivanov;Australia;Suite;9;mid;29592;403
Carlos;Kim;United States;Superior Double;10;mid;18100;404
David;Lee;Pakistan;Spa Executive;1;low;2149;405
Aisha;Brown;United States;Standard Double;7;low;10906;406
Sophia;Khan;Mexico;Grand Lit;4;high;6892;407
Ingrid;Yamamoto;India;Suite;1;low;2627;408
David;Martinez;Nigeria;Junior Suite;3;mid;7101;409
Carlos;Kim;Mexico;Superior Double;8;mid;15888;410
Olivia;Patel;Sweden;Suite;7;mid;22981;411
Elena;Rossi;Brazil;Spa Executive;4;high;10412;412
Lucas;Smith;Australia;Suite;4;mid;11744;413
Sophia;Hassan;Italy;Spa Executive;8;low;17920;414
Sophia;Silva;Germany;LOFT Suite;8;low;24560;415
Zhang;Khan;Vietnam;Superior Double;4;mid;6616;416
Liam;Nguyen;Japan;Superior Double;2;high;4206;417
Elena;Schneider;China;Suite;6;mid;16290;418
Ahmed;Khan;Nigeria;Standard Single;9;high;12213;419
Fatima;Smith;Vietnam;Standard Double;2;mid;3142;420
Chen;Rossi;Mexico;Standard Double;1;low;1287;421
Elena;Olsen;Pakistan;Standard Single;9;high;10953;422
Zhang;Nguyen;Germany;Standard Double;7;low;8638;423
Aisha;Patel;Australia;Grand Lit;10;low;12420;424
Isabella;Yamamoto;Egypt;Grand Lit;3;low;3495;425
David;Patel;France;Suite;1;low;2815;426
Ingrid;Martinez;Japan;Grand Lit;9;mid;11826;427
Sophia;Yamamoto;Italy;Grand Lit;8;high;13128;428
Chen;Martinez;Germany;Grand Lit;3;mid;3972;429
John;Brown;India;Spa Executive;5;mid;11025;430
Santiago;Rossi;Spain;Spa Executive;1;low;2376;431
David;Rossi;Italy;Junior Suite;5;high;11515;432
John;Johansson;Vietnam;Standard Double;4;high;6444;433
Isabella;Yamamoto;China;Suite;1;high;3265;434
Muhammad;Hassan;Sweden;Suite;6;mid;17868;435
David;Khan;Spain;Grand Lit;8;mid;10656;436
Muhammad;Rossi;Brazil;Superior Double;1;high;1884;437
Olivia;Nguyen;China;Standard Single;2;mid;2222;438
John;Patel;Sweden;Suite;5;low;13155;439
Carlos;Yamamoto;India;Suite;2;low;5868;440
Olivia;Brown;Pakistan;Suite;4;high;12836;441
Elena;Khan;China;Spa Executive;6;high;16320;442
Olivia;Johansson;South Korea;Junior Suite;9;mid;20448;443
Muhammad;Johansson;United States;Standard Single;7;mid;7560;444
Liam;Lee;Russia;Superior Double;1;mid;1884;445
Maria;Silva;Japan;Superior Double;2;mid;3864;446
Isabella;Rossi;Spain;Suite;3;low;7926;447
Isabella;Khan;France;Superior Double;6;low;10056;448
Hiroshi;Silva;Russia;Standard Single;3;low;2733;449
Chen;Ivanov;United States;Spa Executive;2;high;5206;450
Isabella;Ivanov;Egypt;Standard Single;2;high;2654;451
Chen;Hassan;Japan;Suite;3;low;7623;452
Ahmed;Ivanov;Japan;Superior Double;6;high;12402;453
Carlos;Khan;Mexico;Junior Suite;1;high;2299;454
Santiago;Dubois;United Kingdom;Superior Double;9;low;15444;455
Ingrid;Ivanov;Germany;Junior Suite;5;low;10205;456
Elena;Hassan;Australia;Spa Executive;3;low;6987;457
Carlos;Martinez;Canada;Superior Double;7;mid;12614;458
Santiago;Dubois;Australia;Grand Lit;2;low;2454;459
Zhang;Patel;Brazil;LOFT Suite;8;mid;26312;460
Ingrid;Müller;Pakistan;Standard Double;6;mid;9066;461
Fatima;Smith;Sweden;Standard Single;1;low;1162;462
Lucas;Silva;Sweden;Grand Lit;1;mid;1448;463
Chen;Ivanov;France;Grand Lit;8;mid;12624;464
Fatima;Khan;Egypt;Standard Double;2;high;3268;465
Olivia;Müller;China;Standard Single;9;high;12780;466
Lucas;Rossi;South Korea;Superior Double;2;low;3218;467
Muhammad;Nguyen;Canada;Junior Suite;10;low;18530;468
Isabella;Olsen;Sweden;Spa Executive;1;low;2168;469
Isabella;Khan;Australia;Grand Lit;4;high;5768;470
Aisha;Ivanov;Pakistan;LOFT Suite;8;high;30464;471
John;Ivanov;United States;Grand Lit;9;high;14175;472
Zhang;Sato;India;LOFT Suite;7;high;25641;473
